Rider;1st;2nd;3rd;4th;5th;GC;POINTS;KOM;YOUTH
FAVERO Vito;1;3;4;0;0;0;0;0;0
ANGLADE Henry;1;3;3;5;5;0;0;0;0
GAINCHE Jean;1;3;3;2;4;0;0;0;0
BENEDETTI Rino;1;3;3;1;0;0;0;0;0
ANDERSEN Kim;1;3;3;1;0;0;0;0;0
VIANEN Gerard;1;3;2;4;4;0;0;0;0
CORNEZ Fernand;1;3;2;4;2;0;0;0;0
HERMANS Mathieu;1;3;2;3;0;0;0;0;0
GAUTHIER Bernard;1;3;2;2;4;0;0;0;0
COOKE Baden;1;3;2;1;4;0;1;0;0
GILBERT Philippe;1;3;1;5;4;0;0;0;0
DEJONGHE Albert;1;3;1;3;2;0;0;0;0
THOMIN Joseph;1;3;1;2;1;0;0;0;0
QUENTIN Maurice;1;3;1;1;2;0;0;0;0
BALDINI Ercole;1;3;1;0;0;0;0;0;0
COLOTTI Jean-Claude;1;3;0;4;0;0;0;0;0
GOASMAT Jean-Marie;1;3;0;1;3;0;0;0;0
ASGREEN Kasper;1;3;0;0;1;0;0;0;0
PESENTI Antonio;1;3;0;0;0;0;0;0;0
NELISSEN Wilfried;1;3;0;0;0;0;0;0;0
MOLINÉRIS Pierre;1;2;6;2;1;0;0;0;0
VAN HAUWAERT Cyrille;1;2;4;4;2;0;0;0;0
DANNEELS Gustaaf;1;2;4;2;1;0;0;0;0
MAGNE Pierre;1;2;3;4;1;0;0;0;0
RONSSE Georges;1;2;3;2;2;0;0;0;0
CARAPAZ Richard;1;2;3;1;0;0;0;1;0
MERSCH Arsène;1;2;3;0;3;0;0;0;0
DE GROOT Daan;1;2;3;0;0;0;0;0;0
VAN VLIET Leo;1;2;2;4;4;0;0;0;0
CADOLLE Marcel;1;2;2;3;4;0;0;0;0
BEHEYT Benoni;1;2;2;3;1;0;0;0;0
PANIZZA Wladimiro;1;2;2;2;1;0;0;0;0
ALANCOURT Arsène;1;2;2;1;4;0;0;0;0
GALERA Joaquín;1;2;2;1;1;0;0;0;0
LAVAINNE Christophe;1;2;2;0;0;0;0;0;0
BASSO Ivan;1;2;1;3;3;0;0;0;1
URÁN Rigoberto;1;2;1;3;3;0;0;0;0
AIMAR Lucien;1;2;1;2;2;1;0;0;0
LAURENT Michel;1;2;1;2;2;0;0;0;0
RIOTTE Raymond;1;2;1;2;1;0;0;0;0
GELDHOF Maurice;1;2;1;2;0;0;0;0;0
PEREIRO Óscar;1;2;1;2;0;0;0;0;0
LAPORTE Christophe;1;2;1;1;6;0;0;0;0
FAURE Benoît;1;2;1;1;3;0;0;0;0
DUFAUX Laurent;1;2;1;1;3;0;0;0;0
HAMILTON Tyler;1;2;1;1;2;0;0;0;0
MINIERI Mario;1;2;1;1;1;0;0;0;0
VIVIANI Elia;1;2;1;1;1;0;0;0;0
BLOMME Maurice;1;2;1;1;0;0;0;0;0
WECKERLING Otto;1;2;1;0;2;0;0;0;0
